[14/03/2026 20:35:33] Target: Non-Controller | Action/Path: /favicon.ico | User: Guest | Duration: 0ms
[14/03/2026 20:35:56] Target: Non-Controller | Action/Path: /openapi/v1.json | User: Guest | Duration: 167ms
[14/03/2026 20:36:35] Target: Loggin | Action/Path: Login | User: Guest | Duration: 78ms
[14/03/2026 20:36:37] Target: Loggin | Action/Path: Login | User: Guest | Duration: 5ms
[14/03/2026 20:36:39] Target: Loggin | Action/Path: Login | User: Guest | Duration: 4ms
[14/03/2026 20:37:35] Target: Loggin | Action/Path: GoogleLogin | User: Guest | Duration: 735ms
[14/03/2026 20:37:36] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 3ms
[14/03/2026 20:37:36] Target: Song | Action/Path: Get | User: 11 | Duration: 16ms
[14/03/2026 20:37:36] Target: Song | Action/Path: Get | User: 11 | Duration: 1ms
[14/03/2026 20:37:39] Target: User | Action/Path: GetCurrentUser | User: 11 | Duration: 4ms
[14/03/2026 20:37:36] Target: Non-Controller | Action/Path: /activityHub | User: 11 | Duration: 7058ms
[14/03/2026 20:37:45] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 0ms
[14/03/2026 20:37:45] Target: Song | Action/Path: Get | User: 11 | Duration: 6ms
[14/03/2026 20:37:45] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[14/03/2026 20:37:50] Target: User | Action/Path: GetCurrentUser | User: 11 | Duration: 0ms
[14/03/2026 20:37:54] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[14/03/2026 20:38:06] Target: User | Action/Path: GetCurrentUser | User: 11 | Duration: 0ms
[14/03/2026 20:38:42] Target: Loggin | Action/Path: Login | User: Guest | Duration: 0ms
[14/03/2026 20:38:42] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[14/03/2026 20:38:42] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[14/03/2026 20:38:42] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[14/03/2026 20:38:45] Target: User | Action/Path: GetCurrentUser | User: 6 | Duration: 1ms
[14/03/2026 20:38:53] Target: User | Action/Path: GetAll | User: 6 | Duration: 4ms
[14/03/2026 20:38:42] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 11072ms
[14/03/2026 20:38:55] Target: User | Action/Path: GetCurrentUser | User: 6 | Duration: 0ms
[14/03/2026 20:38:58] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[14/03/2026 20:38:58] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[14/03/2026 20:38:58] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
