[15/03/2026 10:33:55] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:33:55] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:34:08] Target: User | Action/Path: GetAll | User: 7 | Duration: 0ms
[15/03/2026 10:33:25] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 42397ms
[15/03/2026 10:34:13] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 10:34:13] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:34:13] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:34:14] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:34:17] Target: User | Action/Path: GetAll | User: 7 | Duration: 0ms
[15/03/2026 10:34:13] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 4051ms
[15/03/2026 10:34:18] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:27:02] Target: Non-Controller | Action/Path: /activityHub | User: 11 | Duration: 445536ms
[15/03/2026 10:34:28] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:34:28] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 0ms
[15/03/2026 10:34:28] Target: Song | Action/Path: Get | User: 11 | Duration: 1ms
[15/03/2026 10:34:28] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[15/03/2026 10:34:28] Target: Non-Controller | Action/Path: /activityHub | User: 11 | Duration: 658516ms
[15/03/2026 10:45:27] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:45:27] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 0ms
[15/03/2026 10:45:27] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[15/03/2026 10:45:27] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[15/03/2026 10:45:33] Target: User | Action/Path: GetCurrentUser | User: 11 | Duration: 0ms
[15/03/2026 10:45:36] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:45:40] Target: User | Action/Path: GetAll | User: 7 | Duration: 0ms
[15/03/2026 10:45:41] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:45:54] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:48:52] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:48:52] Target: User | Action/Path: GetAll | User: 7 | Duration: 0ms
[15/03/2026 10:48:54] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:49:14] Target: User | Action/Path: update | User: 7 | Duration: 39ms
[15/03/2026 10:51:43] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:51:43] Target: User | Action/Path: GetAll | User: 7 | Duration: 0ms
[15/03/2026 10:51:45] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:52:06] Target: User | Action/Path: update | User: 7 | Duration: 5ms
[15/03/2026 10:52:44] Target: User | Action/Path: update | User: 7 | Duration: 3ms
[15/03/2026 10:52:44] Target: User | Action/Path: GetAll | User: 7 | Duration: 0ms
[15/03/2026 10:53:03] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:53:09] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:53:15] Target: User | Action/Path: update | User: 7 | Duration: 4ms
[15/03/2026 10:53:23] Target: User | Action/Path: GetAll | User: 7 | Duration: 0ms
[15/03/2026 10:53:23] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:54:39] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:54:44] Target: User | Action/Path: GetAll | User: 7 | Duration: 0ms
[15/03/2026 10:54:44] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:54:45] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:45:27] Target: Non-Controller | Action/Path: /activityHub | User: 11 | Duration: 653984ms
[15/03/2026 10:56:34] Target: Loggin | Action/Path: Login | User: Guest | Duration: 44ms
[15/03/2026 10:56:45] Target: Loggin | Action/Path: Login | User: Guest | Duration: 2ms
[15/03/2026 10:56:58] Target: Loggin | Action/Path: Login | User: Guest | Duration: 1ms
[15/03/2026 10:57:08] Target: Loggin | Action/Path: Login | User: Guest | Duration: 0ms
[15/03/2026 10:57:08] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 10:57:08] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:57:08] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:57:16] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:57:23] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:57:36] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:57:08] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 87843ms
